2761.110921	0.001420	2761.112340
2746.793599	14.460252	2761.253851
2704.410585	56.981930	2761.392515
2634.808247	126.717315	2761.525563
2539.376543	222.273793	2761.650337
2420.021308	341.743038	2761.764345
2279.126254	482.739057	2761.865311
2119.505445	642.445771	2761.951215
1944.347175	817.673167	2762.020342
1757.150384	1004.920924	2762.071309
1561.654853	1200.448242	2762.103095
1361.766576	1400.348488	2762.115064
1161.479787	1600.627186	2762.106973
964.797174	1797.281808	2762.078982
775.649873	1986.381776	2762.031649
597.818810	2164.147106	2761.965917
434.858970	2327.024130	2761.883099
290.028063	2471.756790	2761.784853
166.221025	2595.452120	2761.673145
65.911532	2695.638684	2761.550216
-8.898791	2770.317332	2761.418541
-56.726084	2818.006917	2761.280834
-76.683791	2837.824426	2761.140635
-78.184529	2839.305645	2761.121116
184.313764	2591.697189	2776.010953
73.446687	2689.641866	2763.088553
217.268329	2549.402591	2766.670920
52.957228	2708.182353	2761.139581
139.163038	2624.734865	2763.897902
74.873873	2685.262685	2760.136557
1.079121	2760.048949	2761.128070
30.638842	2730.459083	2761.097924
-16.250680	2777.587329	2761.336649
-38.052499	2799.204104	2761.151605
-41.839708	2802.955069	2761.115361
-41.352177	2802.456667	2761.104490
-40.036182	2801.141835	2761.105654
-36.733723	2797.816333	2761.082610
-28.182169	2789.232182	2761.050014
-11.515120	2772.519481	2761.004361
14.622782	2746.333188	2760.955970
51.848037	2709.043899	2760.891936
102.073977	2658.753358	2760.827335
166.330103	2594.423399	2760.753502
244.299687	2516.390767	2760.690454
334.123908	2426.508788	2760.632696
435.593178	2324.981882	2760.575061
548.083217	2212.440218	2760.523435
669.901902	2090.580446	2760.482348
798.715993	1961.737702	2760.453696
931.975002	1828.463008	2760.438010
1067.063483	1693.372007	2760.435490
1201.338586	1559.107623	2760.446208
1332.163425	1428.306580	2760.470005
1456.967741	1303.538614	2760.506355
1573.325545	1187.228809	2760.554354
1679.016154	1081.596732	2760.612886
1772.317758	988.357320	2760.675078
1853.463479	907.273383	2760.736863
1921.633922	839.171169	2760.805091
1975.553670	785.325511	2760.879181
2014.186382	746.771358	2760.957740
2036.787299	724.251954	2761.039253
2042.923393	718.198732	2761.122126
2032.484027	728.720707	2761.204735
2005.683193	755.602271	2761.285464
1963.054195	798.308548	2761.362743
1905.437291	855.997787	2761.435078
1833.960748	927.540340	2761.501088
1750.015979	1011.543549	2761.559527
1655.227775	1106.381537	2761.609312
1551.420842	1210.228688	2761.649530
1440.583517	1321.095942	2761.679459
1324.976519	1436.720280	2761.696799
1207.068943	1554.633745	2761.702688
1089.089068	1672.608419	2761.697487
973.281014	1788.399677	2761.680692
861.941053	1899.712095	2761.653148
757.068758	2004.547365	2761.616122
660.458249	2101.112435	2761.570684
573.664892	2187.853260	2761.518152
498.012842	2263.446043	2761.458885
434.813141	2326.581414	2761.394555
384.681640	2376.646906	2761.328546
347.118513	2414.158661	2761.277173
316.865187	2444.381920	2761.247107
292.768770	2468.446999	2761.215769
274.737895	2486.452855	2761.190750
259.167453	2502.021930	2761.189383
243.902154	2517.280593	2761.182747
231.265206	2529.903486	2761.168691
217.309036	2543.888613	2761.197649
199.194504	2562.007313	2761.201817
834.974012	1960.471023	2795.445035
170.296057	2590.880362	2761.176419
157.319125	2603.854273	2761.173398
145.761145	2615.405613	2761.166758
134.994971	2626.167219	2761.162190
125.520084	2635.634369	2761.154453
117.691224	2643.454755	2761.145979
112.165083	2648.960223	2761.125306
112.907652	2648.178422	2761.086074
121.741539	2639.315166	2761.056705
135.111376	2625.913880	2761.025256
155.123666	2605.875518	2760.999183
179.945582	2581.028358	2760.973940
210.004510	2550.943378	2760.947888
244.973067	2515.952671	2760.925738
283.755507	2477.153776	2760.909283
325.483758	2435.412246	2760.896004
370.004401	2390.874409	2760.878810
419.224726	2341.630860	2760.855586
470.464730	2290.358705	2760.823435
617.404030	2142.985353	2760.389383
581.993570	2178.937270	2760.930840
637.914403	2122.896377	2760.810780
696.959716	2063.861751	2760.821467
753.720567	2007.113215	2760.833782
807.656657	1953.193015	2760.849673
858.939437	1901.921107	2760.860544
907.690340	1853.184674	2760.875015
954.046552	1806.834650	2760.881202
999.582484	1761.303957	2760.886441
1043.732489	1717.162619	2760.895108
1085.795473	1675.111877	2760.907351
1125.046803	1635.876444	2760.923247
1160.764553	1600.178064	2760.942617
1192.391743	1568.571671	2760.963414
1220.526985	1540.447096	2760.974081
1249.188133	1511.772342	2760.960475
1281.977173	1478.896000	2760.873174
1358.447303	1402.834613	2761.281916
1289.614784	1471.536521	2761.151305
1320.069695	1440.848869	2760.918565
1293.106442	1468.242733	2761.349175
1270.032283	1491.112130	2761.144413
1266.569713	1494.589958	2761.159671
1238.035422	1523.279527	2761.314949
1200.105036	1561.176435	2761.281471
1167.860757	1593.407326	2761.268083
1135.889495	1625.390082	2761.279577
1097.730204	1663.598440	2761.328645
1050.585077	1710.772157	2761.357234
1001.379547	1759.976432	2761.355980
952.540884	1808.814666	2761.355549
903.456837	1857.901089	2761.357926
853.847444	1907.513064	2761.360508
803.752611	1957.610360	2761.362971
751.626457	2009.758295	2761.384752
712.444104	2048.482095	2760.926199
685.940354	2076.530620	2762.470974
579.580827	2181.823546	2761.404373
520.931968	2240.474040	2761.406009
462.204254	2299.198058	2761.402312
404.872318	2356.520090	2761.392408
350.022251	2411.355318	2761.377569
298.589188	2462.769115	2761.358303
251.512442	2509.821210	2761.333652
209.780889	2551.524251	2761.305140
174.418706	2586.850219	2761.268925
146.765396	2614.463843	2761.229240
